Treatment,Pop,GH.area,Mat.area,Dam,Plant_ID,SM_g,GR,FT,DTF,CW,ASD_S,ASD_L,ASD,SM.s,GR.s,CW.s,ASD.s,ORQFT,Index
Sel,MARY,DB,A3,218,218-9,0.034,0.7,171,75,36.78,-1.36,1.88,1.62,0.048297722,1.311822015,0.700199596,-0.060387299,-0.619179906,-0.232800484
Sel,MARY,DB,A3,219,219-1,0.034,0.6,161,65,34.85,-1.48,1.84,1.66,0.048297722,0.58488403,0.245470739,0.039851677,-0.943658984,0.07781386
Sel,MARY,DB,A3,219,219-10,0.032,0.6,164,68,36.88,-1.62,2.11,1.865,-0.30039225,0.58488403,0.723760676,0.553576433,-0.745040767,-0.396237182
Sel,MARY,DB,A3,219,219-2,0.031,0.7,165,69,38.93,-0.99,1.56,1.275,-0.474737235,1.311822015,1.20676283,-0.924948473,-0.716697017,0.348329152
Sel,MARY,DB,A3,219,219-3,0.035,0.8,168,72,37.78,-0.83,0,0.415,0.222642708,2.03876,0.935810402,-3.08008647,-0.679283336,1.766046026
Sel,MARY,DB,A3,219,219-4,0.035,0.7,161,65,34.64,-0.93,1.58,1.255,0.222642708,1.311822015,0.195992469,-0.975067961,-0.943658984,0.500191435
Sel,MARY,DB,A3,219,219-5,0.034,0.7,158,62,48.4,-1.1,2.62,1.86,0.048297722,1.311822015,3.43799717,0.54104656,-1.409682012,0.321968537
Sel,MARY,DB,A3,219,219-6,0.033,0.6,164,68,36.2,-1.62,0.64,1.13,-0.126047264,0.58488403,0.563545328,-1.288314763,-0.745040767,0.996692222
Sel,MARY,DB,A3,219,219-7,0.032,0.7,160,64,41.83,-1.51,2.38,1.945,-0.30039225,1.311822015,1.89003417,0.754054386,-1.058871293,-0.515869625
Sel,MARY,DB,A3,219,219-8,0.033,0.8,160,64,38.29,-1.36,1.02,1.19,-0.126047264,2.03876,1.055971914,-1.137956298,-1.058871293,0.348198681
Sel,MARY,DB,A3,219,219-9,0.034,0.7,159,63,35.47,-0.89,1.75,1.32,0.048297722,1.311822015,0.391549439,-0.812179624,-1.208243346,0.450097663
Sel,MARY,DB,A3,220,220-1,0.032,0.7,159,63,37.52,-1.88,1.83,1.855,-0.30039225,1.311822015,0.874551593,0.528516688,-1.208243346,-0.562951379
Sel,MARY,DB,A3,220,220-10,0.028,0.5,161,65,37.19,-0.54,2.96,1.75,-0.997772193,-0.142053955,0.796800026,0.265389375,-0.943658984,-0.004615571
Sel,MARY,DB,A3,220,220-2,0.04,0.6,159,63,36.72,-1.08,1.79,1.435,1.094367636,0.58488403,0.686062947,-0.523992566,-1.208243346,1.1531955
Sel,MARY,DB,A3,220,220-3,0.025,0.4,159,63,30.48,-1.85,0.97,1.41,-1.52080715,-0.86899194,-0.784148487,-0.586641927,-1.208243346,0.467492195
Sel,MARY,DB,A3,220,220-4,0.041,0.6,160,64,38.54,-1.28,1.45,1.365,1.268712622,0.58488403,1.114874616,-0.699410775,-1.058871293,1.417275457
Sel,MARY,DB,A3,220,220-5,0.039,0.7,167,71,36.65,-0.79,1.83,1.31,0.920022651,1.311822015,0.669570191,-0.837239368,-0.691150096,0.732964295
Sel,MARY,DB,A3,220,220-6,0.028,0.3,161,65,32.92,-0.83,2.74,1.785,-0.997772193,-1.595929925,-0.209258118,0.353098479,-0.943658984,0.444498795
Sel,MARY,DB,A3,220,220-7,0.041,0.6,160,64,34.79,0,3.48,1.74,1.268712622,0.58488403,0.23133409,0.240329631,-1.058871293,0.491441753
Sel,MARY,DB,A3,220,220-8,0.04,0.6,163,67,34.48,-1.97,2.12,2.045,1.094367636,0.58488403,0.15829474,1.004651827,-0.785920783,-0.263788215
Sel,MARY,DB,A3,220,220-9,0.038,0.7,158,62,23.59,-1.94,1.45,1.695,0.745677665,1.311822015,-2.407506945,0.127560782,-1.409682012,-0.607424495
Sel,MARY,DB,A3,221,221-1,0.036,0.5,162,66,36.94,-0.59,2.22,1.405,0.396987693,-0.142053955,0.737897325,-0.599171799,-0.847317869,1.183633833
Sel,MARY,DB,A3,221,221-10,0.041,0.2,158,62,32,-0.79,2.07,1.43,1.268712622,-2.32286791,-0.426020061,-0.536522438,-1.409682012,2.572797866
Sel,MARY,DB,A3,221,221-2,0.04,0.6,160,64,35.58,-1.28,2.01,1.645,1.094367636,0.58488403,0.417466628,0.002262061,-1.058871293,0.641157163
